| ئاخفتنخوەش | وەسف (هەڤالناڤ) | ئەو کەسێ کو پەیڤێن وی وەک هنگیڤی نە. |
| تەواندن | کار (چاوگ) | دەمێ مرۆڤ تشتەکی خوار دکەت، یان خوە دچەمینیت. |
| تەیسۆک | وەسف (هەڤالناڤ) | تشتێ کو ڕۆناهییێ ددەت و دبریسکیت، وەکی زێڕی. |
| تەیسین | کار (چاوگ) | برسقین و دانا ڕۆناهییێ ژ تشتەکی، وەکی ڕۆناهییا ستێران. |
| تیپ | پەیڤێن گشتی | کۆمەکا کەسان کو ل گەل ئێك کار دکەن. |
| تیر | کەلوپەل | هەڤالێ کەڤانی یە، بەرەڤ نیشانێ دچیت. |
| تیر | وەسف (هەڤالناڤ) | وەسفەکە بۆ ماست یان دۆشاڤێ، کو هەڤدژێ پەیڤا (ڕۆن)ـە. |
| تیڕۆژ | پەیڤێن گشتی | تیشکا ڕۆژێ یە ل دەمێ سپێدێ. |
| تیرۆر | پەیڤێن گشتی | ترساندن و تۆقاندنا خەلکی ب ڕێیێن توندوتیژیێ. |
| تیرۆک | کەلوپەل | ئامرازەکێ داری یە کو بۆ هەڤیری دهێتە بکارئینان. |
| تیژ | وەسف (هەڤالناڤ) | تایبەتمەندییا کێرک و شیری یە بۆ بڕینێ. |
| تیژ | هەست | تامەکا دژوارە. |
| تیزاڤ | پەیڤێن گشتی | ئاڤەکا گەلەک ترش و تیژە، ئەگەر ب پیستی بکەڤیت دێ سوژیت. |
| تیڤل | میوە | بەرگ یان پیستێ دەرڤە یێ فێقییان. |
| تێر | وەسف (هەڤالناڤ) | دەمێ مرۆڤ خوارنێ دخۆت و نەشێت پتر بخۆت. |
| تێڕاچوون | کار (چاوگ) | دەربازبوونا تشتەکی د جهەکێ تەنگ دا. |
| تێژک | گیانەوەر | زارۆکێ گیانەوەران و باڵندەیان. |
| تێشت | دەم | خوارنا سپێدێ یە کو مرۆڤ دخۆت بەری بچیتە کاری. |
| تێکدان | کار (چاوگ) | خراپکرن و هەلوەشاندنا کارەکی یان تشتەکی کو دروست بوویە. |
| تێکچوون | کار (چاوگ) | دەمێ تشتەک یان بارودۆخەک ژ ڕێزبەندی و باشییێ دەردکەڤیت و خراب دبیت. |
| تێل | کەلوپەل | دەزییەکێ ئاسنی یە کو بۆ گرێدان یان ڤەگوهاستنا کارەبێ دهێتە بکارئینان. |
| تێھن | پەیڤێن گشتی | پێدڤیبوونا لەشی یە و ب ڤەخوارنێ دشکێت . |
| تێھنی | وەسف (هەڤالناڤ) | دەمێ مرۆڤ گەلەک پێدڤی ب ڤەخوارنا ئاڤێ بیت. |
| تێھناتی | هەست | هەستا مرۆڤی ل دەمێ حەزا ڤەخوارنا ئاڤێ دهێتێ. |
| تێوەردان | کار (چاوگ) | تێکەلکرن و هەڤدان د کار یان ژیانا کەسەکێ دی دا. |
| جار | پەیڤێن گشتی | دەمەک یان قۆناغەکا دیارکری یە کو تشتەک تێدا چێدبیت. |
| جاشک | گیانەوەر | زارۆکێ کەری. |
| جام | کەلوپەل | شیشەیەک کو بۆ پەنجەر و دەرگەهان دهێتە بکارهینان. |
| جان | وەسف (هەڤالناڤ) | جوان و ڕێکپێک و دلڤەکەر. |
| جانتە | کەلوپەل | تشتەکە بۆ هەلگرتنا پەرتووک و کەلوپەلێن بچویک دهێتە بکارئینان. |
| جحێل | وەسف (هەڤالناڤ) | کەسێ گەنج کو هێشتا یێ مەزن نەبووی و یێ خورتە. |
| جزدان | کەلوپەل | جانتەیەکا بچویکە بۆ هەلگرتنا پارە و بەلگەنامەیان. |
| جزدانک | کەلوپەل | جزدانەکا گەلەک بچویک بۆ هەلگرتنا پارەیێ هویر. |
| جەزمە | جلوبەرگ | پێلاڤەکا درێژە ل زڤستانان و دەمێ بارانێ لبەر خوە دهێتەکرن. |
| جڤات | پەیوەندی | کۆمبوونا چەند کەسان ل جهەکی بۆ ئاخفتن و دانوستاندنێ. |
| جڤاک | پەیڤێن گشتی | کۆمەلگەهـ، ئەو خەلکێ کو ل گەل ئێك دژین. |
| جڤاکی | وەسف (هەڤالناڤ) | تشتێ کو گرێدایی کومەلگەهـ و خەلکی و پەیوەندییان بیت. |
| جڤاندن | کار (چاوگ) | کۆمکرنا تشتان یان خەلکی ل ئێك جھ. |
| جڤجڤۆک | پەیڤێن گشتی | کەسەک کو گەلەک لڤین هەبن و نەشێت ل جهەکێ ڕوونیتە خوارێ . |
| جگارە | پەیڤێن گشتی | تویتنەکە د کاغەەزەکێ دا هاتییە پێچان و دهێتە کێشان و دویکێلێ ددەت. |
| جلک | جلوبەرگ | ئەو قوماشێ کو مرۆڤ ل بەر خوە دکەت بۆ پاراستن و جوانیێ. |
| جێمک | خێزان | ئەو دوو زارۆکێن کو د ئێك دەم دا ژ دایک دبن. |
| جندی | وەسف (هەڤالناڤ) | زەلامێ ب هێز، جوان و ڕێکپێک کو جلکێن جوان ل بەرن. |
| جنیک | سرۆشت | ب واتەیا باغ و بێستان دهێت، ئەو جهێ دار تێدا شین دبن . |
| جھ | پەیڤێن گشتی | ئەو خاڵ یان مەیدانا کو تشتەک یان کەسەک لێیە. |
| جھنیک | ئەندامێ لەشی | بەشەکە ژ ناڤچاڤێ مرۆڤی. |
| جوان | وەسف (هەڤالناڤ) | تشتێ کو دیمەنێ وێ یێ خوەش بیت و دلێ مرۆڤی پێ ڤەبیت. |
| جودا | وەسف (هەڤالناڤ) | تشتێ کو وەکی تشتێن دی نەبیت و جیاواز بیت. |
| جودابوون | کار (چاوگ) | ژێكڤەبوون و دویرکەفتن ژ تشتەکی یان کەسەکی. |
| جوداکار | وەسف (هەڤالناڤ) | ئەو کەسێ کو جیاوازیێ دێخیتە د ناڤبەرا تشتان و کەسان دا. |
| جوداکاری | ئایین | کریرا جوداکرنا کەسان ل سەر بنەمایێ ڕەنگ، زمان یان ئایینی. |
| جۆبار | سرۆشت | ڕووبارەکێ بچویکێ ئاڤێ یە د ناڤ گوند و دەشتان دا دچیت. |
| جۆت | پەیڤێن گشتی | دوو تشت کو وەکی ئێك بن و ب هەڤڕا بن، یان دوو گا بۆ کێلانا ئەردی. |
| جۆتکار | پیشە | ئەو کەسێ کو ئەردی دکێلیت و چاندنێ دکەت ل گوندان. |
| جۆتکاری | پیشە | کارێ چاندنێ و خزمەتکرنا ئەردی و ڕووەکان. |
| جۆک | سرۆشت | ڕێڕەوەکێ بچویکێ ئاڤێ یە د ناڤ باخان دا بۆ ئاڤدانێ. |
| جۆنەگا | گیانەوەر | گایێ گەنج کو هێشتا یێ مەزن نەبووی. |
| جۆنی | کەلوپەل | ئەو ئامانێ داری و بەری یێ کو تشتێن وەکی گەنمی تێدا دهێنە کوتان . |
| جەبلخانە | پەیڤێن گشتی | جهێ هەلگرتنا چەک و تەقەمەنییان. |
| جەحش | گیانەوەر | زارۆکێ کەرێ یە. |
| جەڕ | کەلوپەل | ئامانەکێ مەزنە بۆ هەلگرتنا ئاڤێ هاتییە دروستکرن. |
| جەرگ | ئەندامێ لەشی | ئەندامەکێ گرنگێ لەشی یە. |
| جەڕیفک | کەلوپەل |جۆرەکێ گێسکی یە کو ژ چقێن داران دهێتە چێکرن. |
| جەگەر | ئەندامێ لەشی | جەرگ، هەروەسا بۆ وەسفکرنا هێز و دلێریێ ژی دهێتە بکارئینان. |
| جەلەب | پەیڤێن گشتی | کۆمەکا مەزن ژ پەز یان گیانەوەران کو ل گەل ئێك دچن. |
| جەمەد | سرۆشت | ئاڤا کو ژ سەرما بەستی و بوویە بەفرەکا ڕەق. |
| جەنجەر | ئامیرە | ئامیرەکێ کەڤنە بۆ هویرکرنا گەنم و جەهی ل سەر بێدەرێ دهێتە بکارئینان. |
| جەھ | خوارن | دانەکە وەکی گەنمی، پتر ددەنە گیانەوەران. |
| جیھان | پەیڤێن گشتی | هەمی ئەرد و وەلات و ئەسمان تێدایە. |
| جێڕباندن | کار (چاوگ) | تاقیکرن و دیتنا ڕاستییا تشتەکی. |
| چا | خوارن | ڤەخوارنەکا گەرم و ڕەنگ سۆرە. |
| چاپ | پەیڤێن گشتی | نڤیسین یان وێنێ کو ل سەر کاغەزێ ب ئامیرەی دهێتە دەرخستن. |
| چاپکرن | کار (چاوگ) | دەرخستنا نڤیسینان ل سەر کاغەزێ ب ڕێکا ئامیرەیێ چاپێ. |
| چاچی | پیشە | خودانێ سینی و پەیالان. |
| چاخ | دەم | سەردەم، زەمان یان قۆناغەکا ژیانێ. |
| چایخانە | پەیڤێن گشتی | جهەکە تایبەت بۆ کۆمبوونا کەسان. |
| چادان | کەلوپەل | ئامانەکە کو ئاڤ تێدا دهێتە کەلاندن. |
| چار | پەیڤێن گشتی | پشتی ئێکێ و بەری دەهێ. |
| چارەسەر | نەخۆشی | ڕێکەک بۆ چاککرنا نەخۆشیێ یان دیتنا ڕێکەکێ بۆ ئاریشەیێ. |
| چارەکرن | کار (چاوگ) | ساخلەمکرنا نەخۆشەکی یان حەلکرنا ئاریشەیەکێ. |
| چارەنڤیس | پەیڤێن گشتی | ئەو تشتێ کو د پاشەڕۆژێ دا ب سەرێ مرۆڤی دهێت. |
| چاڤ | ئەندامێ لەشی | ئەو ئەندامێ لەشی یە کو مرۆڤ پێ دبینیت. |
| چاڤبرسی | وەسف (هەڤالناڤ) | کەسێ کو هەردەم چاڤێ وی ل خوارنێ یان مالێ خەلکی بیت و تێر نەبیت. |
| چاڤپیس | وەسف (هەڤالناڤ) | کەسێ کو ب نێرینەکا پیس و حەسیدیی بەرێ خوە ددەتە خەلکی و تشتان. |
| چاڤحیز | وەسف (هەڤالناڤ) | کەسێ کو هەردەم ب حەزەکا پیس بەرێ خوە ددەتە خەلکی. |
| چاڤدێر | پیشە | ئەو کەسێ کو چاڤدێری و سەرپەرشتییا کارەکی یان جهەکی دکەت. |
| چاڤدان | کار (چاوگ) | بەرێخوەدان و زێرەڤانیکرن ل سەر تشتەکی. |
| چاڤکانی | پەیوەندی | ئەو جهـ و بنەمایە کو پێزانین و زانیاری ژێ دهێنە وەرگرت. |
| چاک | وەسف (هەڤالناڤ) | تشت یان کەسێ کو باش بیت و چ کێماسی تێدا نەبن. |
| چاکیت | جلوبەرگ | جلکەکێ زڤستانێ یە ل سەر قەمیسی دهێتە ل بەرکرن. |
| چال | سرۆشت | جهەکێ کویر یێ کو هاتییە کۆلان. |
| چاکی | پەیڤێن گشتی | کارێ باش و مفادار بۆ خەلکی. |
| چالاکڤان | پیشە | کەسێ کو بزاڤ و لڤینان دکەت بۆ بجهئینانا مافان یان گۆهۆڕینێ. |
| چانتە | کەلوپەل | تشتەک بۆ هەلگرتنا کەلوپەلان. |
| چاندن | کار (چاوگ) | دانانا تۆڤی یان داران د ناڤ ئاخێ دا، دا کو شین ببن. |
| چرا | کەلوپەل | ئامیرەک یان تشتەکە کو ڕۆناهییێ ددەت. |
| چڕاندن | کار (چاوگ) | قەتکرن و دڕاندنا ب هێز یا کاغەزێ یان قوماشی. |
| چریسک | پەیڤێن گشتی | پارچەیەکا بچویک یا ئاگری کو دپەقیت و بەلاڤ دبیت. |
| چریک | پەیڤێن گشتی | دەمێ پەلکا چەکی دهێتە کێشان، لێ فیشەک ناپەقیت. |
| چڕیک | وەسف (هەڤالناڤ) |کەسێ چاڤبرسی و دەستگرتی، کو حەز نەکەت پارەی سەرف بکەت. |
| چفتە | کەلوپەل | چەکەکێ نێچیرێ یە کو دوو لوولە هەنە و بۆ نێچیرا باڵندەیان دهێتە بکارئینان. |
| چرمسین | کار (چاوگ) | دەمێ ڕووەک یان گول ژ بەر بێئاڤیێ یان گەرمێ تێک دچیت. |
| چلە | دەم | دەمێ زڤستانێ یە کو سەرمایەکا گەلەک دژوار هەیە. |
| چلی | شرۆشت | ئەو ڕووەک یان گیا یان بەلگێن زەر یێن کو ددەنە گیانەوەران. |
| چڵەک | وەسف (هەڤالناڤ) | ئەو کەسەیە یێ کو گەلەک دخۆت، یان هەردەم چاڤێ وی ل خوارنا خەلکی یە. |
| چڵەکی | کار (چاوگ) | ڕەفتارێ وی کەسی یە یێ کو گەلەک دخۆت یان چاڤێ وی ل خوارنا خەلکی یە. |
| چمبل | کەلوپەل | دەستکێ ئامانەکێ وەکی چادانێ یە بۆ گرتنێ. |
| چۆخک | جلوبەرگ | جۆرەکێ جلکێن کوردی یە کو زەلام ل بەر خوە دکەن. |
| چەپەر | پەیڤێن گشتی | جهەکێ خۆڤەشارتنێ یە بۆ شەڕی. |
| چەرخ | دەم | زەمان یان سەردەمەکێ دیارکری. |
| چەرم | پەیڤێن گشتی | پیستێ گیانەوەرانە کو پشتی ڤەماڵینێ بۆ چێکرنا پێلاڤ و کەلوپەلان دهێتە بکارئینان. |
| چەراندن | کار (چاوگ) | برنا پەزی یە د ناڤ دەشت و چیایان دا بۆ خوارنا گیا و ئالیکی . |
| چەرین | کار (چاوگ) | لێگەڕیان و خوارنا گیای یە ژ لایێ پەز و گیانەوەران ڤە. |
| چەق | ڕووەک | تایێ دارێ کو بەلگ و بەرهەم ل سەر شین دبن . |
| چەک | کەلوپەل | ئامرازەکە بۆ شەڕکرن و بەرگریێ دهێتە بکارئینان. |
| چەلەنگ | وەسف (هەڤالناڤ) | کەسێ کو گەلەک یێ زیرەک، چالاک، و ژێهاتی بیت. |
| چەم | سرۆشت | ڕووبارەکێ بچویکە کو ل دەشت و دۆلان دا دچیت، یان جهێ دەوروبەرێن ئاڤێ. |
| چەماندن | کار (چاوگ) | خوارکرن و چەماندنا تشتەکی وەکی دارێ یان ئاسنی. |
| چەمبل | کەلوپەل | دەستکێ ئامانانە. |
| چەنتک | کەلوپەل | جانتەیەکا بچویک یان کییسکەکە. |
| چەنگ | ئەندامێ لەشی | بەشەکە ژ لەشێ مرۆڤی یان باڵندەیان د ناڤبەرا دەست و ملان دایە. |
| چیا | سرۆشت | جهەکێ گەلەک بلند و مەزنە کو ژ بەر و ئاخێ پێک دهێت. |
| چیچک | گیانەوەر | باڵندەیەکا گەلەک بچویکە. |
| چیڕۆک | پەیڤێن گشتی | سەرهاتی یان ڕوودانەکا خەیالی یان ڕاستی کو دهێتە گێڕان. |
| چیڕۆکبێژ | پیشە | ئەو کەسێ کو چیڕۆکان بۆ خەلکی دبێژیت. |
| چین | پێکهاتە | تەخ یان بەشەکێ کومەلگەهێ یە. |
| چین | وەڵات |وەلاتەکێ مەزن و بەرنیاسە. |
| چێکرن | کار (چاوگ) | دروستکرن و ئامادەکرنا تشتەکی یان خوارنێ. |
| حازرکرن | کار (چاوگ) | ئامادەکرن و بەرهەڤکرنا کەسەکی یان تشتەکی بۆ کارەکی. |
| حالخۆش | وەسف (هەڤالناڤ) | کەسێ کو بارودۆخێ وی یێ باش بیت و خەم نەبن. |
| حشک | وەسف (هەڤالناڤ) | تشتێ کو ئاڤ یان تەڕاتی پێڤە نەبیت. |
| حنێر | پەیڤێن گشتی | زیرەکی و شارەزایی د کارەکی یان هونەرەکی دا. |
| حورمەت | پەیڤێن گشتی | ڕێزگرتن و قەدرگرتنا کەسەکی. |
| حورمەت | خێزان | پەیڤەکە د ناڤ جڤاکێ مە دا ب مەبەستا ڕێزگرتنێ بۆ ژنێ دهێتە بکارئینان. |
| حۆچ | وەسف (هەڤالناڤ) | کەسێ کەچەڵ یان ئەو کەسێ بێ پرچ . |
| حەج | ئایین | چوون بۆ مەککەهێ بۆ بجهئینانا ئەرکێ ئایینی ل دەف مسولمانان. |
| حەز | هەست | ڤیان و ئارەزوویا دلی بۆ تشتەکی یان کەسەکی. |
| حەژێکرن | کار (چاوگ) | ڤیان و دلکەفتنا مرۆڤی ب کەسەکی یان تشتەکی. |
| حەفت | ژمارە | ژمارەیەکە د ناڤبەرا ١ تا ١٠. |
| حەفتیار | گیانەوەر | گیانەوەرەکێ دڕندە یە کو گۆشتخۆرە. |
| حەفک | ئەندامێ لەشی | ستوویێ مرۆڤی یان جهێ داعویرانا خوارنێ. |
| حەلاندن | کار (چاوگ) | گوهۆڕینا تشتێ ڕەق بۆ شل. |
| حەلیان | کار (چاوگ) | ڕۆنبوونا تشتێ ڕەق. |
| حەنەک | پەیوەندی | ئاخفتن یان کریارەکە کو بۆ کەنیێ دهێتە کرن. |
| حەوان | کار (چاوگ) | ئارامبوون و بێهنڤەدان ل جهەکی، یان مانا ل جهەکی بۆ دەمەکی. |
| حەواندن | کار (چاوگ) | دابینکرنا جهەکێ یە بۆ کەسەکێ، دا کو تێدا بێهنا خۆ ڤەدەت یان خۆ لێ بپارێزیت. |
| حەوش | پێکهاتە | ئەو بەشێ مالێ یە یێ کو ل دەرڤەی ژووران. |
| حەیتاندن | کار (چاوگ) | دەنگەکێ بلندە کو مرۆڤ ل گیانەوەران یان ل مرۆڤەکی بلند کەت. |
| حەیران | پەیڤێن گشتی | مەندەهۆشبوون و سەرسورمان ب تشتەکی، یان جۆرەکێ سترانا کوردیە. |
| حەیرانۆک | پەیڤێن گشتی | جۆرەکێ سترانا کوردی یە کو گەلەکا خوەش و ب سۆزە. |
| حەیری | وەسف (هەڤالناڤ) | کەسێ کو مەندەهۆش و سەرسورمان مای ژ ڕوودانەکێ یان تشتەکی. |
| حەیف | هەست | پەشیمانی و خەمخواردن ل سەر تشتەکێ ژدەستچووی، یان تولڤەکرن. |
| حیت | گیانەوەر | گیانەوەرەکێ ئاڤی یێ گەلەک مەزنە ل دەریایان. |
| حیز | وەسف (هەڤالناڤ) | کەسێ کو ڕەوشتێ وی یێ پیس و خراب بیت. |
| حیلە | پەیڤێن گشتی | فێل و خاپاندن، ڕێکارەکا نەڕاستە بۆ ب دەستڤەئینانا تشتەکی. |
| حێبەتی | وەسف (هەڤالناڤ) | مەندەهۆش و شۆکبووی ژ دیتنا تشتەکی یان بهیستنا ڕوودانەکێ. |
| حێل | پەیڤێن گشتی | هێز و شیان، یان خورتاتی. |
| حێشتر | گیانەوەر | گیانەوەرەکێ مەزنە ل بیابانان دژیت. |
| خاپاندن | کار (چاوگ) | فێلکرن ل کەسەکی و باوەرپێکرنا وی ب تشتەکێ درەو. |
| خاتر | پەیڤێن گشتی | قەدر و ڕێز، یان دەمێ مرۆڤ ل گەل ئێك خاترخواستنێ دکەت. |
| خاترخواستن | کار (چاوگ) | دەمێ مرۆڤ جھ یان کەسەکی دهێلیت و مالئاڤاییێ ژێ دکەت. |
| خاتوون | پەیڤێن گشتی | ژنەکا قەدرگران و ب ڕێز، یان ژنا دەستهەلاتدار. |
| خاتین | پەیڤێن گشتی | نازناڤەکێ ڕێزگرتنێ یە کو بۆ ژنەکا بەڕێز، خانەدان دهێتە گۆت . |
| خار | وەسف (هەڤالناڤ) | تشتێ کو یێ ڕاست نەبیت. |
| خوار | وەسف (هەڤالناڤ) | تشتێ نەڕاستە، یان ئەو تشتێ چەمیای. |
| خوار | وەسف (هەڤالناڤ) | ئاراستەیێ بەرەڤ ژێر. |
| خوار | کار (چاوگ) | کریارا بۆری یا داعویرانێ و خوارنا تشتان. |
| خارن | خوارن | هەر تشتێ کو مرۆڤ یان گیانەوەر دخۆن بۆ ژیانێ. |
| خوارن | خوارن | هەر تشتەکێ کو دهێتە دروستکرن یان بەرهەڤکرن بۆ تێربوونێ. |
| خوارن | کار (چاوگ) | کریارا برنا زادی بۆ ناڤ گەدە و زکی . |
| خاروڤیچ | وەسف (هەڤالناڤ) | تشتێ کو گەلەک نەڕاست. |
| خاستن | کار (چاوگ) | داخوازکرن یان دیتنا کەسەکی بۆ هەڤژینیێ. |
| خازگینی | پەیڤێن گشتی | چوونا مالا کچەکێ بۆ داخوازکرنا وێ بۆ کوڕەکی. |
| خازخازۆک | پیشە | کەسێ کو ل سەر ڕێیان و دەرییان پارەی ژ خەلکی دخوازیت. |
| خاسیەت | پەیڤێن گشتی | تایبەتمەندی و ڕەوشتێ مرۆڤی یان تشتەکی. |
| خاڤ | وەسف (هەڤالناڤ) | تشتێ کو نە یێ توند بیت، یان خوارنەکا باش نەهاتییە چێکرن. |
| خاڤبوون | کار (چاوگ) | سستبوون و ژدەستدانا هێزێ. |
| خاک | پەیڤێن گشتی | ئاخ، ئەرد، یان نیشتیمان. |
| خالخالۆک | گیانەوەر | کێزەکا بچویکە، ڕەنگێ وێ یێ سۆرە و خاڵێن ڕەش ل سەرن. |
| خال | خێزان | برایێ دایکێ. |
| خانە | پەیڤێن گشتی | جھ، مال، یان ژوورەکا بچویک. |
| خانی | جھ | ئەو مالا کو ژ بەر و ئاخێ یان چیمەنتۆیێ هاتییە دروستکرن. |
| خانیک | جھ | خانیەکێ بچویکە، یان جهـ و ئاڤاهییەکێ بچویک بۆ ئاکنجیبوونێ. |
| خدام | پەیڤێن گشتی | ئەو کەسێ کو کارێ خزمەتکرنێ دکەت. |
| خراپ | وەسف (هەڤالناڤ) | تشتێ نەباش یان کەسێ نەباش. |
| خرخال | کەلوپەل | جۆرەکێ خشڵ یە کو ژن بۆ جوانییێ دکەنە پێیێن خوە. |
| خڕاندن | کار (چاوگ) | کێشانا تشتەکێ یە ل سەر ئەردی کو دەنگێ خڕەخڕێ ژێ بهێت. |
| خڕکرن | کار (چاوگ) | کۆمکرن و خرڤەکرنا چەند تشتان یان کەسانە ل دۆر ئێک. |
| خوراندن | کار (چاوگ) | لێدان و خشاندنا نینۆکان ل سەر پێستی. |
| خڕخڕ | پەیڤێن گشتی | دەنگێ هەناسەدانێ ل دەمێ نڤستنێ. |
| خزم | خێزان | ئەو کەسێن کو پەیوەندییا خوینێ ل گەل مرۆڤی هەی. |
| خزمەت | ئابووری | هاریکاریکرن و کارکرن بۆ کەسەکی دی بێ بەرامبەر یان ب پارە. |
| خزمەتکرن | کار (چاوگ) | هاریکاریکرن و دابینکرنا پێدڤییێن کەسەکێ ب دڵسۆزی. |
| خزمەتکار | پیشە | کەسێ کو د مالان دا کارێ پاقژکرن و خزمەتکرنێ دکەت. |
| خزینە | ئابووری | جهێ هەلگرتنا پارە و زێڕ و تشتێن گرانبها. |
| خزێم | کەلوپەل | خشلەکێ زێڕییە بۆ جوانیێ دهێتە بکارهینان. |
| خشاندن | کار (چاوگ) | ڕاکێشانا تشتەکی ب ئەردی ڤە |
| خشکۆک | وەسف (هەڤالناڤ) | کەسێ شرین، جوان و نازدارە، کو پتر بۆ وەسفکرنا زاڕۆکان دهێتە بکارئینان . |
| خشۆک | گیانەوەر | گیانەوەرێن کو پێ نینن و ل سەر زکی دچن. |
| خشیان | کار (چاوگ) | چوون ل سەر زکی و لێخشاندن ب ئەردی ڤە. |
| خشخش | پەیڤێن گشتی | دەنگێ لێکخشاندنا بەلگێن داران یان قوماشی. |
| خەلیان | کار (چاوگ) | دەمێ دەست یان پێیێ مرۆڤی لێکدقولپیت و دبتە سەدەما ئێشان و وەرمینێ. |
| خەلاندن | کار (چاوگ) | لێکقولپاندنا دەست و پێیێن کەسەکێ ب سەدەما زەربەیەکێ . |
| خوناڤ | سرۆشت | ئەو دلۆپێن ئاڤێ نە یێن ل سپێدەهیان ل سەر بەلگێن داران پەیدا دبن. |
| خوەھر | وەسف (هەڤالناڤ) | نەڕاست. |
| خودێ | پەیڤێن گشتی | ئافرێنەر و دروستکەرێ هەمی جیهانێ. |
| خۆرت | وەسف (هەڤالناڤ) | کەسێ گەنج، ب هێز و ساخلەم. |
| خورت | وەسف (هەڤالناڤ) | کەسێ بهێز. |
| خورتی | پەیڤێن گشتی | تشتەک ب زۆریکرن. |
| خورمە | میوە | فێقییەکێ شرینە کو ل وەلاتێن گەرم دهێتە بەرهەمئینان. |
| خولام | پیشە | کەسێ کو بۆ مالەکێ کار دکەت و فەرمانێن وان بجهـ دئینیت. |
| خوھ | ئەندامێ لەشی | ئەو ئاڤەیە یا کو ل دەمێ گەرمێ یان وەستیانا زێدە ژ لەشی دەردکەڤیت. |
| خوێھدان | کار (چاوگ) | دەرکەفتنا ئاڤێ ژ لەشێ مرۆڤی ل دەمێ گەرمیێ یان کارکرنێ. |
| خوەجھ | پەیڤێن گشتی | کەسێ کو ل جهەکی جێگیر دبیت و ئاکنجی دبیت. |
| خوەزی | پەیڤێن گشتی | پەیڤەکە بۆ هیڤیخواستن و حەزکرنا بجهاتنا تشتەکی دهێتە بکارئینان. |
| خوەسەر | وەسف (هەڤالناڤ) | کەسێ کو ب سەرێ خوە کار دکەت و گوهێ خوە نادەتە کەسێ. |
| خوەشمێر | وەسف (هەڤالناڤ) | زەلامێ ئازا، دلێر و بهێز. |
| خۆشمێر | وەسف (هەڤالناڤ) | (زەلامێ ب هێز و دلێر. |
| خویسار | وەسف (هەڤالناڤ) | ئەو سەرمایا دژوارە کو دبتە سەدەما بەستنا بارانێ ل سەر ئەردی و گیای. |
| خوین | ئەندامێ لەشی | د ناڤ دەمارێن لەشێ مرۆڤی و گیانەوەران دا دچیت. |
| خویندار | وەسف (هەڤالناڤ) | کەسێ کو خوینێ ڕێژیت یان کەسێ ب تاوانا کوشتنێ دهێتە تۆمەتبارکرن. |
| خۆدیک | کەلوپەل | ئەو شیشەیا کو مرۆڤ شێوەیێ خوە تێدا دبینیت. |
| خۆش | وەسف (هەڤالناڤ) | تشتێ کو ب دلێ مرۆڤی بیت. |
| خوەلی | سرۆشت | ئەو ئاخا کو پشتی ئاگر دمینیت. |
| خەبات | پەیڤێن گشتی | تێکۆشان و بزاڤکرن بۆ ب دەستڤەئینانا مافان یان گەهشتن ب ئارمانجێ. |
| خەباتکار | پیشە | کەسێ کو بۆ ب دەستڤەئینانا مافان یان ئارمانجەکێ تێکۆشانێ دکەت. |
| خەبەر | پەیڤێن گشتی | ئاخڤتنێن کرێت و نەجوان. |
| خەبەربێژ | پیشە | کەسێ کو ئاخڤتنێن کرێت و نەجوان بکار دئینیت . |
| خەترە | پەیڤێن گشتی | ب واتەیا جار، کەڕەت، گەڕ، یان هەل دهێت بۆ ئەنجامدانا تشتەکێ . |
| خەتیر | وەسف (هەڤالناڤ) | ئەو دارێ ئاگر ب سەرێ وێڤە دهێتە هەلکرن بۆ ڕووناهیێ. |
| خەرجی | ئابووری | ئەو پارەیێ کو بۆ کڕین یان کارەکی دهێتە مەزاختن و سەرفکرن. |
| خەزال | گیانەوەر | گیانەوەرەکێ کێڤی یێ جوان و بلەز. |
| خەزیر | خێزان | بابێ ژنێ یان بابێ زەلامی یە بۆ کەسێ هەڤژینیدار . |
| خەستە | جھ | ئەو جهێ کو کەسێن نەخۆش لێ دهێنە چارەسەرکرن . |
| خەسی | خێزان | دایکا هەڤژینی یان هەڤژینێ. |
| خەلات | پەیڤێن گشتی | دیارییەک کو وەک ڕێزلێنان یان سەرکەفتنەکێ ددەنە کەسەکی. |


| خەلەک | پێکهاتە | بازنە، یان هەر بەشەک ژ دراما و زنجیرەیان ژی دهێتە بکارئینان . |
| خەم | هەست | نەخۆشی و کوڤانا کو د دلێ مرۆڤی دا پەیدا دبیت. |
| خەمگین | وەسف (هەڤالناڤ) | کەسێ کو خەم و نەخۆشی د دلێ وی دا هەنە. |
| خەملاندن | کار (چاوگ) | جوانکرن و ڕازاندنا جھ یان کەسەکی ب تشتێن جوان. |
| خەنجەر | کەلوپەل | چەکەکێ بچویک و تیژە. |
| خەندقین | کار (چاوگ) | ژ دەستدانا هەناسەیێ یە د ئاڤێدا. |
| خەندقاندن | کار (چاوگ) | گرتنا بێهن و هەناسە یان بنئاڤکرن کەسەکی. |
| خیچک | پەیڤێن گشتی | هێلەکا بچویکە کو ل سەر ڕوویێ تشتەکێ دهێتە کێشان . |
| خەنا | ماددە | ماددەیەکە بۆ ڕەنگکرن و خەملاندنا دەست و پرچێ دهێتە بکارئینان . |
| خیڤەت | کەلوپەل | مالەکا ژ قوماشی یە ل دەشتێ دهێتە ڤەدان. |
| خوێ | خوارن | ماددەیەکێ سپی یە دکەنە ناڤ خوارنێ دا کو تاما وێ خوەش بکەت. |
